int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
1,0,6,0,0,6,0,0,6,0,0,0,0,0,0,0,"Croque-roc 3",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,61,9,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0,0,8034,0,0,0,0,"Arme de givre 1",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,33,9,0,0,0,0,0
3,0,3,0,0,100,0,0,100,0,0,15568,0,0,0,0,"Langue de feu 3",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,32,9,0,0,0,0,0
4,0,3,0,0,100,0,0,100,0,0,15567,0,0,0,0,"Langue de feu 2",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,32,9,0,0,0,0,0
5,0,3,0,0,100,0,0,100,0,0,10400,0,0,0,0,"Langue de feu 1",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,32,9,0,0,0,0,0
6,0,6,0,0,4,0,0,4,0,0,0,0,0,0,0,"Croque-roc 2",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,61,9,0,0,0,0,0
7,0,1,0,0,30,0,0,30,0,0,2818,0,0,0,0,"Poison mortel",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,26,9,0,0,0,0,0
8,0,1,0,0,30,0,0,30,0,0,2819,0,0,0,0,"Poison mortel II",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,26,9,0,0,0,0,0
9,0,1,0,0,30,0,0,30,0,0,2820,0,0,0,0,"Poison (15 points de dégâts)",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,26,9,0,0,0,0,0
10,0,1,0,0,30,0,0,30,0,0,2821,0,0,0,0,"Poison (20 points de dégâts)",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,26,9,0,0,0,0,0
11,0,1,0,0,30,0,0,30,0,0,2822,0,0,0,0,"Poison (25 points de dégâts)",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,26,9,0,0,0,0,0
12,0,1,0,0,0,0,0,0,0,0,8037,0,0,0,0,"Arme de givre 2",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,33,9,0,0,0,0,0
13,0,2,0,0,3,0,0,3,0,0,0,0,0,0,0,"Aiguisé (+3 points de dégâts)",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,28,0,0,0,0,0,0
14,0,2,0,0,4,0,0,4,0,0,0,0,0,0,0,"Aiguisé (+4 points de dégâts)",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,28,0,0,0,0,0,0
15,0,4,0,0,8,0,0,8,0,0,0,0,0,0,0,"Renforcé (+8 Armure)",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
16,0,4,0,0,16,0,0,16,0,0,0,0,0,0,0,"Renforcé (+16 Armure)",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
17,0,4,0,0,24,0,0,24,0,0,0,0,0,0,0,"Renforcé (+24 Armure)",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
18,0,4,0,0,32,0,0,32,0,0,0,0,0,0,0,"Renforcé (+32 Armure)",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
19,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,"Équilibré (+2 points de dégâts)",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
20,0,2,0,0,3,0,0,3,0,0,0,0,0,0,0,"Équilibré (+3 points de dégâts)",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
21,0,2,0,0,4,0,0,4,0,0,0,0,0,0,0,"Équilibré (+4 points de dégâts)",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,0,0
22,0,1,0,0,50,0,0,50,0,0,3409,0,0,0,0,"Poison affaiblissant",0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,26,9,0,0,0,0,0
